hashtag,tweets,main tweet
Mona Scott,"[('Mona Scott Young amp Queen Latifah.', 752713799887708160), ('Mona Scott getting them checks.', 752718585102004225), ('Mona Scott is here I need to have a conversation with her.', 752727797735514112), ('Mona Scott Young really is the angel and the devil on your shoulder You want Missy or MiMi bitch I got both.', 752715111714918400), ('Mona Scott produced this show.', 752703359820427264), ('So Nicki will be there next time right Mona Scott young HipHopHonors.', 752702914033020928), ('Honestly Fuck Mona Scott.', 752703180673261569), ('That Mona Scott bitch sure do be working.', 752703039870500864), ('See no love in hip hop just Getting toooo damn messy Mona Scott young is not for black ppl.', 752704434770092032)]","[('Mona Scott Young is A Demon.', 752703393244782592)]"
Dej Loaf,"[('Dej Loaf and Lil Mama slayed Kim s Crush on You.', 752734655938310144), ('Rounds of applause for Teyana Taylor Lil Mama amp DeJ Loaf s Lil Kim Tribute Nailed it HipHopHonors.', 752734660988469248), ('Teyana Taylor Kiki Palmer Dej Loaf they all young and knew the lyrics to the records they performed Yeah Quan gotta take th.', 752734460815282177), ('dear teyanna dej loaf and lil mama THANK YOU.', 752734569518895105), ('trill Now Lil Kim amp Dej Loaf killed it too Kim was so hype HipHopHonors LilKim DejLoaf.', 752734437016829952), ('By the way is Dej Loaf still pretending to like penis.', 752734571481800704), ('It s crazy that dej loaf is on hiphophonors an I saw her in person I m just hella high guy like get it bitch.', 752734488711401472)]","[('Dej Loaf and Lil Mama performing Lil Kim s Crush On You HipHopHonors.', 752734488312983553)]"
Smackdown,"[('WWE Raw 7 11 16 Review Vince McMahon Reveals The Commissioner Of Both WWE Raw amp Smackdown LIVE.', 752733713436467200), ('Check out my WWE Fantasy Draft roster WWEDraft Raw SmackDown.', 752734539580006404), ('I liked a YouTube video Mr McMahon reveals the Commissioners of Raw and SmackDown Live Raw July 11 2016.', 752734264895139840), ('Ik vind een YouTube video leuk Mr McMahon reveals the Commissioners of Raw and SmackDown Live Raw July.', 752733509786202112), ('VIP AUDIO 7 11 WKH WWE Raw Vince McMahon announces who will run Raw and Smackdown Wyatts New Day compound fi.', 752733993796247552), ('Check out my WWE Fantasy Draft roster WWEDraft Raw SmackDown WWE WWEUniverse.', 752733513103867904), ('WWE SmackDown Raw Great opportunity WWEAaLLday21 BigCassWWE to work with johncena only if you don t mind being in the background.', 752733344345890817), ('Just catching up on Raw seems pretty clear Seth Rollins ends up on Raw and Dean Ambrose ends up on SmackDown.', 752733494824955904), ('Check out my WWE Fantasy Draft roster WWEDraft Raw SmackDown Here my WWEDraft picks.', 752733301475930113)]","[('Mr McMahon reveals the Commissioners of Raw and SmackDown Live Raw July 11 2016 wwe.', 752733529079894017)]"
#BrainDead,"[('When you had a good day at work BrainDead thedannypino.', 752743921910816768), ('You only need three people to broker a unanimous consent vote SenateRules BrainDead.', 752743545581305856), ('E Winstead Ready for a new BrainDead tonight Sing along if you need a refresher.', 752743325128679424), ('Politics Romance Space Bugs The fun continues tonight Stream BrainDead live.', 752743336381911040), ('People thought I was a good girl so they called me good girl Laurel BrainDead.', 752743361052872704), ('DCRomance BrainDead M E Winstead.', 752743798090919936), ('Great time this week being back with the Good Wife crew on BrainDead Greatest crew in New York.', 752742775305695232), ('No need to rush Watch BrainDead anywhere anytime w the CBS app janmaxwellnyc.', 752743560877838336), ('Love this BrainDead moment at the Tax Prom.', 752741100377481216)]","[('Cookies are good BrainDead M E Winstead.', 752742729701027840)]"
Trina,"[('When is Trina being honored.', 752742572989124610), ('Why was trina off hiphophonors.', 752742897410248704), ('VIDEO TRINArockstarr Performs One Minute Man At Hip Hop Honors.', 752742944118038528), ('fan Yung si Trina at Arisse lang may picture sa night out nila sa Pablo s last Saturday Hirap niyo talaga istalk KN.', 752744067226710016), ('Yes Cause I m looking for a man to make me say God Trina RT Dutch ROFL One Minute Man was about the Lord https.', 752742930683604992), ('RT welovemorgs y all make sure y all play Trina and knuck if you buck at my funeral watch how fast I jump out that casket.', 752743376961675264), ('I hate when a boy trina spit game to me like bitch we like the same fucking thing.', 752743563943829504), ('I think god I m single cause bitches Trina get the dick amp amp come so much that they gone get the disease.', 752743023402897408), ('Hip Hop was so important in my life I adored Left Eye Was her like every Halloween I came into my teens when we had Tri.', 752744156783636484)]","[('When Trina came out HipHopHonors.', 752742310761213952)]"
Nicki,"[('9 lmao fuckin nicki.', 752743812338823168), ('Nicki doesn t do tributes She s too legendary for that HipHopHonors.', 752743705774268416), ('Why nicki salty though lol.', 752743398927241216), ('bby I hate when people compare Nicki and Kim yes Kim paved the way cudos to you but Nicki s album sales are more then Kim s net w.', 752743465323233280), ('Nicki Did A Lil Kim Tribute Her Whole Career.', 752743833029468160), ('KingKjizzle lil Kim is way better than Nicki Minaj lyrically wise.', 752743714578018305), ('Taneesha Diva alinathequeenx Queen is great just has less than 1 2 the money Nicki Minaj does Nicki could still use her blueprint.', 752743371815415808), ('If Faith Evans amp Lil Kim can mend fences it s only time until Kim amp Nicki Minaj do Right.', 752743667551596544), ('If you watch Nicki vids you would know that Nicki talks about how she admires Kim She gave her credit.', 752743839052488704)]","[('Y all really vouching for Nicki Minaj.', 752743518666231808)]"
#IShouldEatMoreFruit,"[('IShouldEatMoreFruit but I m tired of shaving the peaches.', 752743345668042753), ('IShouldEatMoreFruit with my crack.', 752742351567675393), ('diddles IShouldEatMoreFruit and calcium.', 752744132750127105), ('IShouldEatMoreFruit if fruit is the new name for tuna.', 752742399479205888), ('I love steak but IShouldEatMoreFruit.', 752743083687706624), ('IShouldEatMoreFruit like apples but NOT from this lady mansizedthumbs.', 752744197023735808), ('IShouldEatMoreFruit so I can beat my high score.', 752743452522127360), ('IShouldEatMoreFruit but by time I m thinking healthy eating all the fruit in my house is rotten.', 752744296500064256)]","[('IShouldEatMoreFruit not me you.', 752742634058166272)]"
#HipHopHonors,"[('HipHopHonors Why the hell is Rich Homie Quan on stage rapping Biggie s part and don t even know the words.', 752743813341327361), ('Where they dig Tweet up from Yes boo hiphophonors.', 752743793158389760), ('Rounds of applause for Teyana Taylor Lil Mama amp DeJ Loaf s Lil Kim Tribute Nailed it HipHopHonors.', 752743853916975104), ('FANTASIA MONICA amp TWEET WITH THE THROWBACKS FOR THE VH1 HIPHOPHONORS.', 752743830315798528), ('One more time for TEYANATAYLOR killing the HipHopHonors.', 752743770081357824), ('Yessss Tweet HipHopHonors2016 HipHopHonors.', 752743809222529025), ('TeyanaTaylor wasn t playing with y all tonight HipHopHonors That weave toss tho.', 752743833222336513), ('OMG Rich Homie Quan fucked it up and not in a good way Why did they let him in building let alone the stage HipHopHonors.', 752743818860998656), ('Who tf let Rich Homie do Biggie s verse HipHopHonors.', 752743846753087488)]","[('Sang fantasia Monica hiphophonors tweet.', 752743820157194240)]"
Adam Duvall,"[('Duvall eliminated by Frazier in 2016 Derby Reds outfielder Adam Duvall showed off his prodigious power in Mo.', 752726167409479680), ('Cincinnati Reds Adam Duvall finishes third in Home Run Derby blog.', 752736532834902017), ('CincinnatiReds Reds cincinnati Cincinnati Reds Adam Duvall finishes third in Home Run Derby.', 752732244532404225), ('Cincinnati Reds Adam Duvall finishes third in Home RunDerby.', 752724961731629056), ('I played catch yesterday with the person throwing to Adam duvall in the home run derby.', 752743278567567362), ('The jerseys in the Home Run Derby look horrendous but Adam Duvall does not.', 752728782411300864), ('Duvall eliminated by Frazier in 2016 Derby Reds outfielder Adam Duvall showed off his prodigious p fanrates.', 752726164938977280), ('Adam Duvall doesn t win 2016 Home Run Derby Reds fans still love him anyway The Reds slugger put on a hellu.', 752730168980934657), ('Who s Adam Duvall America.', 752739572501450752)]","[('Cincinnati Reds Adam Duvall finishes third in Home Run Derby.', 752741555421741056)]"
#AYTO,"[('Come on ohhhfrancesca AYTO.', 752742932252356609), ('That s what I m talking about riv gio AYTO.', 752743702519386112), ('GIO GOT ME FUCKED UP AYTO.', 752741509200351233), ('This how got me fucked up AYTO.', 752743503168364544), ('Wtf is kaylen wearing She is losing it AYTO stAYTOtweet.', 752742505922174976), ('How I feel about gio amp kaylen and asaf and tori right now AYTO.', 752741800704479233), ('plot twist asafgoren1 and riv gio are a perfect match AYTO.', 752741805964169216), ('So much f ckboy behavior this episode AYTO.', 752743545178427393), ('Me with this episode AYTO AreYouTheOne.', 752741967373606913)]","[('Kaylen is me AYTO.', 752743892445831172)]"
Chanel Iman,"[('Chanel Iman never dissapoints.', 752740646411206656), ('Chanel Iman is baaaadddd Js.', 752726127202930688), ('Chanel Iman is what I want.', 752717938906411008), ('Chanel Iman is so beautiful.', 752724533279354880), ('Chanel Iman is hella hot.', 752742023887593476), ('Chanel Iman gt Karrueche Tran.', 752742003666919426), ('01021543560 01021543560 01021543560 Chanel Iman.', 752739415793938434), ('Alicia Vikander and Chanel Iman demonstrate how to do an all black summer ensemble.', 752740144239738880), ('if I don t look like Chanel Iman soon I m gonna be tight.', 752734967675826176)]","[('Looks by Chanel Iman.', 752736198519562241)]"
Amber Rose,"[('We should all aspire to be more like Amber Rose.', 752743495828316160), ('PUSH THROUGH Amber Rose Vashtie HipHopHonors DaRealAmberRose.', 752743249580732416), ('Amber Rose got her own show now wtf.', 752743340672704512), ('oh amber rose is trending.', 752741419253510144), ('Lol you guys amber rose tried leave her alone yall going in on her HipHopHonors.', 752743267549143040), ('AMBER ROSE GOT THE BEST HAIRCUT IN THE GAME HER LINEUP IS IMPECCABLE.', 752743422570618880), ('Amber Rose Plays a Game of Butt What.', 752742486888501250), ('I like amber rose Lol she don t give a fuck.', 752743521891651585), ('When Amber Rose started trying to rap let s talk about sex HipHopHonors.', 752743850943188993)]","[('amber rose is what s going on.', 752743397346185216)]"
Monica,"[('Lol monica used to runn.', 752743928651218944), ('RT jakala monica omg.', 752743832018563073), ('Urkel Monica will shoot you and be front row at your funeral Just to show you Monica not having it.', 752743727530070017), ('Kick down your door and smack ya chick just to show ya Monica not havin it.', 752743813114769408), ('This giant mob of people on the Santa Monica pier all celebrated catching a dragonair PokemonGO.', 752743927938183168), ('JUST TO SHOW YOU MONICA NOT HAVIN IT.', 752743847516602369), ('Kick down ya door and smack ya bitch just to show ya Monica not have it.', 752743793850519552), ('Just to show you Monica not having that HipHopHonors2016 HipHopHonors.', 752743725835513856), ('kick down your door and smack your chick tellin em monica not having it.', 752743893230350336)]","[('Monica my fucking fav.', 752743958460047360)]"
Chris Berman,"[('Gotta hand it to Chris Berman His back back back call never gets old Unless you count 1996 and every year after.', 752743071901560832), ('Chris Berman saying back back back is my favorite thing in sports.', 752743230416908288), ('In the year we lost Muhammad Ali down goes Frazier Chris Berman in worst line of year mlb hrderby.', 752742265559195648), ('Chris Berman drops awkward Muhammad Ali reference during HR Derby.', 752743034979102720), ('Chris Berman drops awkward Muhammad Ali reference during HR Derby h t TheCauldron cjzero.', 752742300783116288), ('Chris Berman uses awkward Muhammad Ali line at end of Derby.', 752738804318941184), ('Yep You don t want Chris Berman Wait until Stephen A Smith is announcing it next year.', 752742788400308224), ('Chris Berman the real MVP.', 752743942798487552), ('Chris Berman talks like he is constantly holding back a burp.', 752740997092614144)]","[('BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK BACK Chris Berman ht.', 752738762048675840)]"
Terry Crews,"[('It s called being Terry Crews.', 752743616372629508), ('Sports 47 yr old Terry Crews.', 752742464247599104), ('Terry Crews may be bad at softball but he s really good at doing whatever this is.', 752742261759156225), ('Terry Crews proving that steroids don t help in baseball at fucking all.', 752742394374696960), ('Terry Crews A Thousand Miles Part 3 THAT FLEX AT THE END.', 752741662875529216), ('Terry Crews A Thousand Miles Part 1 OH MY GOD.', 752741816567336964), ('Terry Crews works out at JJ s gym.', 752741218837098497), ('Terry Crews did this and then immediately struck out on 3 pitches.', 752743991653916672)]","[('Terry Crews A Thousand Miles Part 2.', 752741878915665920)]"
#ShawnOnFallon,"[('so proud of him always ShawnOnFallon.', 752740024072998912), ('He was amazing Wow ShawnOnFallon.', 752739800554307584), ('you killed it i am so proud omfg shawnonfallon.', 752740374070919168), ('OMG I died ShawnOnFallon.', 752739297984405505), ('ShawnOnFallon so did he perform yet.', 752740187545874432), ('Omggg faut que je regarde a ShawnOnFallon.', 752739185950359552), ('I m so proud of you my love We love you so much ShawnOnFallon.', 752740433923538945), ('ShawnMendes I did watch you Love the song Treat you better Love you ShawnOnFallon.', 752739683302404097), ('I can t believe how much he s been working amazing talent I love u so much ShawnMendes ShawnOnFallon.', 752740538894454784)]","[('ShawnMendes you was AMAZING ShawnOnFallon.', 752739909065019392)]"
